Time,Data,Average,SD

 21:56:39   ,394.0,252.81,171.93
 21:56:42   ,396.0,288.02,161.48
 21:56:45   ,396.0,323.12,141.3
 21:56:48   ,396.0,358.59,106.28
 21:56:51   ,397.0,394.3,3.23
 21:56:54   ,396.0,395.3,0.78
 21:56:57   ,388.0,394.8,2.4
 21:57:00   ,396.0,395.6,0.8
 21:57:03   ,396.0,394.9,2.43
 21:57:06   ,394.0,394.8,2.44
 22:25:52   ,411.0,396.6,5.39
 22:25:55   ,400.0,395.5,2.87
 22:25:58   ,400.0,397.0,5.48
 22:26:01   ,401.0,397.5,5.59
 22:26:04   ,403.0,398.1,5.75
 22:26:07   ,405.0,398.7,5.98
 22:26:10   ,401.0,399.0,5.78
 22:26:13   ,403.0,400.9,4.74
 22:26:16   ,412.0,402.3,5.48
 22:26:19   ,404.0,402.2,4.12
 22:26:28   ,400.0,403.6,4.25
 22:26:31   ,405.0,403.4,3.38
 22:26:34   ,412.0,404.1,4.25
 22:26:37   ,401.0,403.5,3.29
 22:26:40   ,408.0,405.3,3.95
 22:26:43   ,409.0,405.2,4.19
 22:26:55   ,436.0,408.2,10.14
 22:26:58   ,398.0,405.2,4.66
 22:27:01   ,400.0,408.7,10.07
 22:27:05   ,400.0,407.3,10.48
 22:27:08   ,399.0,406.8,10.74
 22:27:12   ,412.0,408.1,10.5
 22:27:15   ,406.0,406.9,10.73
 22:27:18   ,400.0,406.3,10.93
 22:27:21   ,412.0,408.0,10.63
 22:27:24   ,409.0,406.9,10.8
 22:27:27   ,410.0,407.3,10.92
 22:27:30   ,413.0,404.9,5.82
 22:27:33   ,413.0,406.1,5.5
 22:27:42   ,407.0,406.8,5.11
 22:27:45   ,400.0,407.4,5.44
 22:27:48   ,413.0,409.5,3.98
 22:27:51   ,400.0,407.0,5.08
 22:27:54   ,398.0,407.5,5.68
 22:27:57   ,412.0,408.9,4.83
 22:28:00   ,398.0,406.1,6.11
 22:28:03   ,410.0,407.6,5.71
 22:28:06   ,401.0,405.5,6.38
 22:28:09   ,398.0,404.9,6.35
 22:28:12   ,399.0,403.8,5.72
 22:28:15   ,402.0,403.2,5.72
 22:28:18   ,399.0,402.8,5.91
 22:28:21   ,409.0,402.7,5.2
 22:28:24   ,405.0,402.2,4.89
 22:28:27   ,411.0,403.9,5.56
 22:28:30   ,412.0,403.3,5.06
 22:32:40   ,383.0,401.7,7.73
 22:32:43   ,396.0,403.2,5.44
 22:32:46   ,387.0,400.5,9.15
 22:32:49   ,381.0,399.7,10.21
 22:32:52   ,388.0,399.2,9.94
 22:32:55   ,395.0,397.8,10.88
 22:33:07   ,383.0,395.5,11.99
 22:33:10   ,384.0,394.2,11.02
 22:33:13   ,395.0,393.1,10.52
 22:33:16   ,397.0,390.6,9.05
 22:33:26   ,396.0,388.8,5.79
 22:33:29   ,391.0,389.7,5.6
 22:33:32   ,393.0,389.9,5.68
 22:33:35   ,393.0,390.3,5.6
 22:33:38   ,396.0,391.8,4.87
 22:33:41   ,397.0,392.4,4.8
 22:33:44   ,396.0,392.4,4.78
 22:33:47   ,392.0,393.4,3.72
 22:34:18   ,317.0,387.1,23.44
 22:34:20   ,397.0,394.8,2.18
 22:34:23   ,396.0,386.7,23.32
 22:34:26   ,385.0,385.7,23.16
 22:34:29   ,385.0,386.2,23.32
 22:34:32   ,384.0,385.3,23.21
 22:34:35   ,384.0,384.5,23.07
 22:34:38   ,389.0,383.8,22.82
 22:34:41   ,389.0,382.5,22.39
 22:34:44   ,397.0,382.6,22.46
 22:34:47   ,390.0,381.6,21.98
 22:34:50   ,411.0,391.7,8.19
 22:34:53   ,404.0,390.3,6.36
 22:34:56   ,391.0,390.5,7.83
 22:34:59   ,404.0,393.7,9.19
 22:35:02   ,404.0,394.3,8.79
 22:35:05   ,398.0,395.7,8.12
 22:35:08   ,405.0,398.4,7.75
 22:35:11   ,409.0,399.7,7.51
 22:35:14   ,396.0,400.0,6.36
 22:35:17   ,404.0,402.0,6.6
 22:35:20   ,400.0,402.2,5.72
 22:35:23   ,408.0,402.3,5.31
 22:35:26   ,408.0,401.9,5.32
 22:35:29   ,401.0,402.9,3.94
 22:35:32   ,397.0,402.9,4.59
 22:35:35   ,399.0,402.8,4.4
 22:35:38   ,399.0,402.7,4.52
 22:35:41   ,401.0,402.3,4.47
 22:35:44   ,425.0,403.7,8.12
 22:35:47   ,415.0,403.2,5.29
 22:35:50   ,405.0,404.3,7.79
 22:35:53   ,405.0,405.8,8.24
 22:35:56   ,406.0,405.6,8.21
 22:35:59   ,402.0,404.9,8.23
 22:36:02   ,399.0,405.1,8.3
 22:36:05   ,398.0,405.5,8.03
 22:36:08   ,407.0,406.4,7.63
 22:36:11   ,402.0,405.8,7.83
 22:36:14   ,399.0,406.1,7.89
 22:36:17   ,399.0,403.8,4.79
 22:36:20   ,403.0,402.6,3.01
 22:36:23   ,401.0,401.8,3.06
 22:36:26   ,405.0,402.0,3.07
 22:36:29   ,400.0,401.0,2.53
 11:10:44   ,316.0,392.9,25.78
 11:10:47   ,316.0,393.0,25.81
 11:10:50   ,323.0,385.5,33.12
 11:10:53   ,316.0,375.7,39.12
 11:10:56   ,317.0,367.9,40.82
 11:10:59   ,309.0,358.8,42.94
 11:11:02   ,312.0,350.9,42.02
 11:11:05   ,308.0,341.1,40.08
 11:11:08   ,307.0,332.1,35.47
 11:11:11   ,298.0,321.5,26.94
 11:11:14   ,301.0,312.5,6.02
 11:11:17   ,310.0,311.6,6.53
 11:11:20   ,303.0,309.4,7.36
 11:11:23   ,307.0,308.5,5.61
 11:11:26   ,318.0,308.3,6.13
