Time,Data,Average,SD

 21:56:39   ,374.0,258.91,141.52
 21:56:42   ,379.0,289.36,131.39
 21:56:45   ,380.0,318.63,113.36
 21:56:48   ,380.0,347.74,83.93
 21:56:51   ,380.0,376.1,5.32
 21:56:54   ,379.0,377.9,1.76
 21:56:57   ,364.0,376.7,4.61
 21:57:00   ,378.0,378.2,1.83
 21:57:03   ,378.0,376.8,4.64
 21:57:06   ,375.0,376.5,4.65
 22:25:52   ,416.0,380.8,12.62
 22:25:55   ,394.0,378.7,6.86
 22:25:58   ,398.0,382.8,13.53
 22:26:01   ,395.0,383.9,13.62
 22:26:04   ,403.0,386.5,14.87
 22:26:07   ,401.0,387.8,14.71
 22:26:10   ,395.0,389.6,14.71
 22:26:13   ,403.0,394.1,12.59
 22:26:16   ,416.0,397.1,12.79
 22:26:19   ,400.0,398.0,9.75
 22:26:28   ,396.0,401.7,7.8
 22:26:31   ,406.0,401.1,6.24
 22:26:34   ,416.0,402.3,7.4
 22:26:37   ,395.0,401.0,6.26
 22:26:40   ,411.0,404.7,7.13
 22:26:43   ,408.0,403.6,7.47
 22:26:55   ,419.0,405.7,8.83
 22:26:58   ,391.0,404.2,8.29
 22:27:01   ,393.0,406.0,9.08
 22:27:05   ,392.0,403.4,9.53
 22:27:08   ,392.0,402.7,10.0
 22:27:12   ,417.0,404.8,10.56
 22:27:15   ,403.0,402.0,10.27
 22:27:18   ,392.0,401.0,10.83
 22:27:21   ,418.0,404.4,11.1
 22:27:24   ,408.0,401.5,10.42
 22:27:27   ,415.0,403.2,11.95
 22:27:30   ,418.0,402.4,11.29
 22:27:33   ,419.0,404.9,11.28
 22:27:42   ,405.0,406.0,10.45
 22:27:45   ,394.0,407.6,10.87
 22:27:48   ,417.0,411.2,8.48
 22:27:51   ,392.0,406.4,10.42
 22:27:54   ,390.0,407.6,11.11
 22:27:57   ,417.0,410.3,9.7
 22:28:00   ,390.0,404.8,11.65
 22:28:03   ,415.0,408.2,11.25
 22:28:06   ,394.0,403.6,12.22
 22:28:09   ,390.0,402.9,12.27
 22:28:12   ,391.0,400.5,11.15
 22:28:15   ,395.0,399.4,11.23
 22:28:18   ,391.0,398.7,11.61
 22:28:21   ,408.0,398.2,10.25
 22:28:24   ,400.0,397.3,9.82
 22:28:27   ,416.0,400.7,11.19
 22:28:30   ,416.0,399.0,9.79
 22:32:40   ,366.0,396.6,13.81
 22:32:43   ,388.0,398.9,10.15
 22:32:46   ,376.0,394.9,15.28
 22:32:49   ,365.0,393.6,16.97
 22:32:52   ,380.0,393.6,15.96
 22:32:55   ,389.0,391.5,17.77
 22:33:07   ,367.0,388.2,19.43
 22:33:10   ,369.0,386.5,18.09
 22:33:13   ,387.0,385.0,17.73
 22:33:16   ,389.0,380.5,14.99
 22:33:26   ,389.0,377.6,9.72
 22:33:29   ,381.0,379.1,8.94
 22:33:32   ,383.0,379.4,9.1
 22:33:35   ,376.0,379.2,9.04
 22:33:38   ,386.0,382.0,7.67
 22:33:41   ,390.0,382.0,8.17
 22:33:44   ,389.0,381.6,7.86
 22:33:47   ,379.0,382.9,6.41
 22:34:18   ,321.0,379.1,19.82
 22:34:20   ,385.0,384.7,4.58
 22:34:23   ,389.0,378.3,19.64
 22:34:26   ,366.0,375.6,19.37
 22:34:29   ,366.0,376.4,19.74
 22:34:32   ,368.0,374.9,19.75
 22:34:35   ,366.0,373.7,19.99
 22:34:38   ,373.0,372.6,19.51
 22:34:41   ,373.0,370.2,18.68
 22:34:44   ,388.0,370.1,18.58
 22:34:47   ,375.0,368.2,17.46
 22:34:50   ,397.0,377.1,10.98
 22:34:53   ,383.0,374.7,8.53
 22:34:56   ,375.0,374.7,9.76
 22:34:59   ,394.0,378.3,10.9
 22:35:02   ,398.0,379.6,10.83
 22:35:05   ,386.0,381.0,9.63
 22:35:08   ,401.0,385.7,10.71
 22:35:11   ,407.0,387.6,10.81
 22:35:14   ,386.0,388.3,8.7
 22:35:17   ,396.0,391.2,10.37
 22:35:20   ,392.0,391.9,9.02
 22:35:23   ,407.0,393.3,10.06
 22:35:26   ,406.0,394.1,9.35
 22:35:29   ,390.0,395.7,7.25
 22:35:32   ,387.0,396.6,8.15
 22:35:35   ,392.0,396.3,7.96
 22:35:38   ,391.0,396.3,7.9
 22:35:41   ,396.0,395.9,7.69
 22:35:44   ,415.0,396.2,9.25
 22:35:47   ,407.0,396.4,7.17
 22:35:50   ,402.0,397.8,8.72
 22:35:53   ,400.0,399.1,8.84
 22:35:56   ,403.0,398.9,8.61
 22:35:59   ,399.0,397.9,8.15
 22:36:02   ,390.0,398.3,8.3
 22:36:05   ,390.0,399.5,7.39
 22:36:08   ,405.0,400.8,7.1
 22:36:11   ,399.0,400.1,7.11
 22:36:14   ,391.0,400.2,7.7
 22:36:17   ,392.0,398.7,5.8
 22:36:20   ,400.0,397.9,5.26
 22:36:23   ,397.0,396.6,5.24
 22:36:26   ,403.0,397.2,5.58
 22:36:29   ,394.0,395.7,4.82
 11:10:44   ,312.0,387.9,25.82
 11:10:47   ,313.0,388.4,25.59
 11:10:50   ,320.0,381.3,32.97
 11:10:53   ,312.0,371.3,38.76
 11:10:56   ,314.0,363.6,40.07
 11:10:59   ,304.0,354.7,42.74
 11:11:02   ,308.0,347.3,41.95
 11:11:05   ,305.0,337.4,39.95
 11:11:08   ,303.0,328.3,35.47
 11:11:11   ,293.0,317.5,26.42
 11:11:14   ,297.0,308.8,6.34
 11:11:17   ,306.0,307.8,7.07
 11:11:20   ,299.0,305.5,7.81
 11:11:23   ,304.0,304.6,5.94
 11:11:26   ,314.0,304.3,6.45
 11:11:40   ,302.0,302.1,4.3
 11:11:43   ,306.0,303.5,5.64
 11:11:46   ,306.0,302.9,5.45
 11:11:49   ,304.0,302.8,5.42
 11:11:52   ,301.0,302.8,5.53
 11:11:55   ,300.0,303.8,4.53
 11:11:58   ,300.0,304.2,4.07
 11:12:01   ,294.0,303.0,5.02
 11:12:04   ,293.0,303.0,5.14
 11:12:07   ,300.0,302.7,5.02
 11:12:10   ,258.0,296.4,13.46
 11:12:13   ,297.0,300.1,4.28
 11:12:16   ,304.0,296.0,13.26
 11:12:19   ,300.0,294.7,12.63
 11:12:22   ,291.0,293.8,12.54
 11:12:25   ,307.0,295.3,13.05
 11:12:28   ,295.0,293.2,12.32
 11:12:31   ,308.0,295.2,13.56
 11:12:34   ,298.0,294.3,12.93
 11:12:37   ,310.0,297.0,14.21
 11:12:40   ,291.0,294.9,13.54
 11:12:43   ,297.0,300.7,5.93
 11:12:46   ,278.0,298.2,9.34
 11:12:49   ,283.0,298.0,8.14
 11:12:52   ,295.0,297.0,9.12
 11:12:55   ,293.0,296.0,9.97
 11:12:58   ,308.0,296.3,10.04
 11:13:01   ,307.0,296.0,9.97
 11:13:04   ,301.0,295.4,9.46
 11:13:07   ,295.0,295.7,9.95
 11:13:10   ,297.0,295.0,9.0
 11:13:13   ,303.0,296.0,9.19
 11:13:16   ,302.0,295.9,9.12
 11:13:19   ,308.0,299.0,7.58
 11:13:22   ,305.0,300.6,5.06
 11:13:25   ,302.0,301.6,5.02
 11:13:28   ,301.0,302.7,4.22
 11:13:31   ,294.0,301.4,4.54
 11:13:34   ,306.0,302.0,3.71
 11:13:37   ,304.0,301.1,4.25
 11:13:40   ,300.0,301.8,3.94
 11:13:43   ,300.0,302.5,3.64
 11:13:46   ,302.0,302.4,3.64
 11:13:49   ,302.0,302.2,3.71
 11:13:52   ,301.0,301.5,3.17
 11:13:55   ,304.0,301.5,3.07
 11:13:58   ,305.0,301.5,3.17
 11:14:01   ,304.0,301.7,3.16
 11:14:04   ,302.0,302.6,1.96
 11:14:07   ,304.0,302.6,1.74
 11:14:10   ,304.0,302.4,1.69
 11:14:13   ,307.0,303.1,1.97
 11:14:16   ,305.0,303.3,1.35
 11:14:19   ,304.0,303.7,1.62
 11:14:22   ,303.0,303.9,1.58
 11:14:25   ,304.0,304.3,1.19
 11:14:28   ,304.0,304.2,1.25
 11:14:31   ,303.0,304.0,1.26
 11:14:34   ,296.0,303.3,2.72
 11:14:37   ,301.0,303.9,1.45
 11:14:40   ,305.0,303.5,2.73
 11:14:43   ,305.0,303.2,2.82
 11:14:46   ,306.0,303.1,2.7
 11:14:49   ,306.0,303.1,2.7
 11:14:52   ,305.0,303.2,2.75
 11:14:55   ,308.0,303.8,3.16
 11:14:58   ,305.0,303.6,2.91
 11:15:01   ,300.0,303.5,3.38
 11:15:04   ,306.0,304.3,3.23
 11:15:07   ,301.0,304.2,2.48
 11:15:10   ,299.0,304.5,2.66
 11:15:13   ,296.0,303.8,3.46
 11:15:16   ,303.0,303.9,2.84
 11:15:19   ,294.0,302.0,4.47
 11:15:22   ,302.0,302.5,3.44
 11:15:25   ,296.0,300.8,4.45
 11:15:28   ,290.0,299.6,4.76
 11:15:31   ,296.0,299.3,3.61
 11:15:34   ,300.0,298.7,4.5
 11:15:37   ,302.0,297.9,3.99
 11:15:40   ,316.0,299.2,6.69
 11:15:43   ,299.0,297.8,3.92
 11:15:46   ,305.0,300.4,6.81
 11:15:49   ,305.0,300.0,6.77
 11:15:52   ,300.0,300.6,6.47
 11:15:55   ,305.0,301.4,6.7
 11:15:58   ,301.0,301.4,6.39
 11:16:01   ,303.0,303.1,5.15
 11:16:04   ,309.0,304.2,4.92
 11:16:07   ,300.0,303.6,4.65
 11:16:10   ,305.0,304.8,4.66
 11:16:13   ,302.0,302.9,2.95
 11:16:16   ,304.0,303.7,2.65
 11:16:19   ,307.0,303.7,2.87
 11:16:22   ,309.0,303.8,3.12
 11:16:25   ,302.0,303.8,2.64
 11:16:28   ,308.0,304.8,3.16
 11:16:31   ,303.0,304.4,2.91
 11:16:34   ,311.0,305.7,3.47
 11:16:37   ,306.0,304.6,2.76
 11:16:40   ,309.0,306.0,3.07
 11:16:43   ,304.0,305.6,2.94
 11:16:46   ,307.0,306.6,2.73
 11:16:49   ,305.0,306.4,2.76
 11:16:52   ,306.0,306.5,2.73
 11:16:55   ,301.0,305.6,3.04
 11:16:58   ,304.0,306.3,2.37
 11:17:01   ,301.0,305.3,3.07
 11:17:04   ,311.0,306.4,3.04
 11:17:07   ,304.0,304.7,2.37
 11:17:10   ,299.0,304.7,3.55
 11:17:13   ,302.0,304.5,2.87
 11:17:16   ,303.0,304.1,3.27
 11:17:19   ,304.0,303.7,3.16
 11:17:22   ,306.0,303.7,3.23
 11:17:25   ,304.0,303.3,3.03
 11:17:28   ,303.0,303.7,3.03
 11:17:31   ,298.0,303.2,3.49
 11:17:34   ,297.0,303.3,3.58
 11:17:37   ,305.0,302.8,2.4
 11:17:40   ,307.0,302.3,3.16
 11:17:43   ,307.0,302.9,3.05
 11:17:46   ,297.0,302.4,3.53
 11:17:49   ,297.0,302.8,3.79
 11:17:52   ,309.0,303.3,4.22
 11:17:55   ,308.0,302.3,4.36
 11:17:58   ,305.0,302.5,4.54
 11:18:01   ,304.0,302.9,4.81
 11:18:04   ,304.0,303.6,4.54
 11:18:07   ,298.0,303.7,4.41
 11:18:10   ,306.0,304.4,4.0
 11:18:13   ,294.0,302.3,5.06
 11:18:16   ,310.0,303.8,4.64
 11:18:19   ,300.0,302.5,4.74
 11:18:22   ,306.0,304.4,4.69
 11:18:25   ,303.0,303.2,4.51
 11:18:28   ,304.0,303.1,4.35
 11:18:31   ,300.0,302.5,4.36
 11:18:34   ,301.0,302.6,4.32
 11:18:37   ,306.0,302.7,4.47
 11:18:40   ,295.0,301.9,4.72
 11:18:43   ,292.0,301.6,5.22
 11:18:46   ,299.0,302.4,4.08
 11:18:49   ,294.0,300.1,4.72
 11:18:52   ,307.0,301.3,4.69
 11:18:55   ,296.0,299.0,4.4
 11:18:58   ,296.0,299.4,4.9
 11:19:01   ,294.0,298.4,4.88
 11:19:04   ,303.0,298.9,4.91
 11:19:07   ,302.0,298.1,4.97
 11:19:10   ,298.0,297.4,4.34
 11:19:13   ,297.0,298.0,4.47
 11:19:16   ,301.0,299.0,4.02
 11:19:19   ,299.0,298.6,4.0
 11:19:22   ,300.0,299.4,3.75
 11:19:25   ,293.0,297.9,3.18
 11:19:28   ,295.0,298.5,2.87
 11:19:31   ,300.0,298.7,3.1
 11:19:34   ,291.0,297.9,3.73
 11:19:37   ,302.0,298.7,2.83
 11:19:40   ,296.0,297.0,3.1
 11:19:43   ,299.0,297.7,3.44
 11:19:46   ,293.0,297.0,3.69
 11:19:49   ,304.0,297.9,3.86
 11:19:52   ,297.0,296.6,3.44
 11:19:55   ,295.0,296.8,4.04
 11:19:58   ,295.0,297.2,3.84
 11:20:01   ,292.0,296.9,4.11
 11:20:04   ,304.0,297.6,4.29
 11:20:07   ,303.0,297.6,4.0
 11:20:10   ,297.0,297.2,3.89
 11:20:13   ,316.0,299.8,6.85
 11:20:16   ,329.0,300.9,10.27
 11:20:19   ,314.0,301.7,7.72
 11:20:22   ,305.0,303.3,10.82
 11:20:25   ,318.0,306.3,11.7
 11:20:28   ,313.0,306.8,10.71
 11:20:31   ,317.0,309.5,10.61
 11:20:34   ,299.0,309.8,9.41
 11:20:37   ,302.0,311.4,9.07
 11:20:40   ,306.0,311.4,9.2
 11:20:43   ,305.0,311.8,8.59
 11:20:46   ,305.0,310.8,8.62
 11:20:49   ,304.0,308.3,6.29
 11:20:52   ,298.0,306.8,6.63
 11:20:55   ,297.0,306.6,6.8
 11:20:58   ,293.0,304.2,6.65
 11:21:01   ,308.0,304.1,5.52
 11:21:04   ,303.0,301.2,4.04
 11:21:07   ,305.0,302.3,4.52
 11:21:10   ,291.0,301.0,5.55
 11:21:13   ,295.0,301.3,4.84
 11:21:16   ,305.0,300.9,5.47
 11:21:19   ,308.0,300.2,5.88
 11:21:22   ,313.0,300.8,6.73
 11:21:25   ,328.0,303.3,10.13
 11:21:28   ,328.0,304.9,10.27
 11:21:31   ,332.0,308.8,12.23
 11:21:34   ,329.0,310.5,13.06
 11:21:37   ,323.0,312.8,13.68
 11:21:40   ,327.0,315.6,14.47
 11:21:43   ,336.0,319.7,12.88
 11:21:46   ,327.0,322.0,9.15
 11:21:49   ,327.0,325.1,8.06
 11:21:52   ,327.0,327.0,5.69
 11:21:55   ,331.0,328.8,3.34
 11:22:00   ,314.0,327.0,5.44
 11:22:03   ,310.0,326.9,6.56
 11:22:06   ,304.0,324.5,8.67
 11:22:09   ,292.0,321.4,12.18
 11:22:12   ,299.0,320.2,11.86
 11:22:15   ,296.0,316.4,14.65
 11:22:18   ,291.0,312.2,14.55
 11:22:21   ,297.0,309.7,13.71
 11:22:24   ,292.0,305.6,13.84
 11:22:27   ,285.0,301.9,12.78
 11:22:30   ,289.0,298.4,8.01
 11:22:33   ,287.0,295.3,7.24
 11:22:36   ,282.0,292.7,6.23
 11:22:39   ,292.0,292.0,4.17
 11:22:42   ,284.0,290.2,5.53
 11:22:45   ,288.0,289.9,4.44
 11:22:48   ,297.0,289.6,4.9
 11:22:51   ,297.0,289.3,4.9
 11:22:54   ,286.0,288.2,4.24
 11:22:57   ,290.0,289.1,4.83
 11:23:00   ,294.0,289.6,4.96
 11:23:03   ,284.0,288.7,5.0
 11:23:06   ,292.0,290.2,4.92
 11:23:09   ,287.0,289.9,4.68
 11:23:12   ,303.0,291.5,5.97
 11:23:15   ,293.0,290.8,4.31
 11:23:18   ,288.0,291.8,5.65
 11:23:21   ,286.0,291.2,5.56
 11:23:24   ,285.0,290.2,5.36
 11:23:27   ,300.0,291.7,5.78
 11:23:30   ,296.0,290.8,5.64
 11:23:33   ,298.0,291.6,6.41
 11:23:36   ,298.0,292.8,5.98
 11:23:39   ,292.0,292.8,5.98
 11:23:42   ,292.0,293.9,5.82
 11:23:45   ,296.0,293.2,5.06
 11:23:48   ,300.0,293.5,5.43
 11:23:51   ,291.0,293.4,4.84
 11:23:54   ,294.0,295.1,4.35
 11:23:57   ,307.0,297.0,4.56
 11:24:00   ,306.0,296.3,4.29
 11:24:03   ,302.0,297.0,4.82
 11:24:06   ,304.0,298.0,5.71
 11:24:09   ,310.0,299.0,6.63
 11:24:12   ,310.0,300.2,6.34
 11:24:15   ,304.0,301.4,5.78
 11:24:18   ,299.0,302.3,6.08
 11:24:21   ,313.0,304.1,6.62
 11:24:24   ,301.0,303.7,4.71
 11:24:27   ,313.0,306.8,4.45
 11:24:30   ,313.0,306.2,4.77
 11:24:33   ,320.0,307.6,6.31
 11:24:36   ,302.0,306.9,5.19
 11:36:38   ,307.0,309.0,6.03
 11:36:41   ,304.0,307.9,6.49
 11:36:44   ,312.0,308.4,6.45
 13:01:01   ,329.0,310.1,8.94
 13:01:04   ,337.0,312.2,10.01
 13:01:07   ,338.0,313.9,11.42
 13:01:10   ,333.0,317.0,11.66
 13:01:13   ,337.0,319.9,13.58
 13:01:16   ,331.0,321.3,13.34
 13:01:19   ,339.0,323.8,14.77
 13:01:22   ,339.0,326.7,12.94
 13:01:25   ,331.0,329.1,11.17
 13:01:28   ,349.0,334.4,9.09
 13:01:31   ,335.0,334.9,3.48
 13:01:34   ,330.0,336.4,5.35
 13:01:37   ,341.0,337.3,5.1
 13:01:40   ,340.0,336.4,5.46
 13:01:43   ,338.0,337.0,5.42
 13:01:46   ,341.0,337.6,5.61
 13:01:49   ,342.0,338.4,5.22
 13:01:52   ,339.0,338.3,5.16
 13:01:55   ,327.0,337.4,6.31
 13:08:57   ,0.0,305.5,101.94
 13:09:00   ,963.0,399.6,187.86
 13:09:03   ,995.0,369.3,231.59
 13:09:06   ,940.0,427.1,280.72
 13:09:09   ,97.0,408.2,307.48
 13:09:12   ,95.0,468.0,344.84
 13:09:15   ,0.0,434.4,371.28
 13:09:18   ,0.0,409.8,384.56
 13:09:21   ,790.0,454.6,399.85
 13:09:24   ,840.0,425.7,426.59
 13:09:27   ,1000.0,488.0,454.1
 13:09:30   ,790.0,551.0,416.8
 13:09:33   ,466.0,522.3,413.64
 13:37:45   ,543.0,509.5,394.31
 13:37:48   ,632.0,471.0,370.19
 13:37:51   ,780.0,530.4,356.37
 13:37:54   ,841.0,590.2,330.02
 13:37:57   ,655.0,649.6,261.31
 13:38:00   ,658.0,734.0,150.44
